تحليل الصفحة ووضع الأهداف لخطة MAY;;;;;;;
;;;;;;;
;;;;;;;
;;المؤشرات الرئيسية (في شهر 4);;;;;
الرقم;;المؤشر;الرقم;الملاحظة حسب مقياس (KPI);;;
;;إجمالي المشاهدات;1,111,647; رقم قوي جداً;;;
1;;الحسابات التي تم الوصول إليها;280,582; تراجع 34.6% عن الفترة السابقة;;;
2;;إجمالي التفاعلات;46,699;جيد لكن يمكن تحسينه;;;
3;;المشاركات;11,631; نقطة قوة — المحتوى فيروسي;;;
4;;التعليقات;1,319;متوسط — يحتاج محتوى يُعلّق عليه;;;
5;;الحفظات;872; ضعيف نسبياً — المحتوى ترفيهي أكثر من كونه مرجعي;;;
6;;الريبوستات;576;مقبول;;;
7;;نسبة المتابعين→غير المتابعين بالتفاعل;25.4% : 74.6%; التوزيع المثالي للنمو;;;
;;تحليل نوع المحتوى في الشهر السابق (4);;;;;
8;;النوع;النسبة;الاستنتاج;;;
9;;Reels;83.3%;المحرك الأساسي — يجب الاستمرار والتحسين;;;
10;;Posts;9.6%;للإعلانات الرسمية والتوقيتات فقط;;;
11;;Stories;7.2%;مُهمل نسبياً — فرصة ضائعة;;;
12;;;;;;;
13;;;;;;;
14;;;;;;;
15;;;;;;;
;;التوزيع الديموغرافي;;;;;
16;;البيان;النتيجة;الدلالة التسويقية;;;
17;;النساء;74.6%;الاستهداف الطبيعي صحيح;;;
18;;دمشق;46.8%;القاعدة الصلبة — يجب الحفاظ عليها;;;
19;;العمر 18–24;46.5%;الشريحة الأكثر استجابة للريلز;;;
20;;العمر 13–17;19.4%;طلاب التاسع — شريحة واعدة;;;
21;;أهداف شهر 5 (قابلة للقياس);;;;;
23;;الهدف;المقياس (KPI);المستهدف;;;
24;;عكس تراجع الوصول;Accounts Reached;≥ 300,000 (+7% على الأقل);;;
25;;رفع معدل الحفظ;Saves;≥ 1,500 (+72%) عبر محتوى مرجعي;;;
26;;إطلاق قناة الواتساب بنجاح;مشتركين القناة;≥ 500 مشترك بنهاية الشهر;;;
27;;بورتفوليو موشن;Views على الريلز;≥ 50,000 مشاهدة;;;
28;;ريل آراء العملاء;Shares + Saves;≥ 3,000 مشاركة + ≥ 500 حفظ;;;
29;;معدل المشاركات;Shares;الحفاظ على ≥ 10,000;;;
30;;نمو المتابعين;Net New Followers;≥ 800 متابع جديد;;;
31;;;;;;;
32;#;;;;;;
33;1;;;;;;
34;2;;;;;;
35;3;;;;;;
36;4;;;;;;
;5;;;;;;
;6;;;;;;
;7;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
